LibraryName,TypeNodeName,FullTransform,PartialTransform,NotTransform
frmCustomers,Plus,0,0,6
frmSearch,CompilationUnit,0,0,1
frmSearch,UsingNamespace,0,0,4
frmSearch,SimpleName,0,0,22
frmSearch,DotName,0,0,8
frmSearch,Namespace,0,0,1
frmSearch,Class,0,0,1
frmSearch,TypeBase,0,0,1
frmSearch,TypeRef,0,0,9
frmSearch,Field,0,0,1
frmSearch,AliasTypeRef,0,0,20
frmSearch,VarDeclarator,0,0,3
frmSearch,VarInit,0,0,3
frmSearch,Literal,0,0,39
frmSearch,Constructor,0,0,1
frmSearch,ParamList,0,0,9
frmSearch,BaseInit,0,0,1
frmSearch,ArgList,0,0,27
frmSearch,Block,0,0,29
frmSearch,If,0,0,12
frmSearch,Eql,0,0,9
frmSearch,SingleAccess,0,0,79
frmSearch,ExpressionStat,0,0,27
frmSearch,Assign,0,0,13
frmSearch,This,0,0,4
frmSearch,Else,0,0,7
frmSearch,Try,0,0,1
frmSearch,And,0,0,1
frmSearch,NotEql,0,0,1
frmSearch,ExprMemberAccess,0,0,78
frmSearch,Call,0,0,26
frmSearch,MemberAccess,0,0,80
frmSearch,ThisMemberAccess,0,0,2
frmSearch,Catch,0,0,1
frmSearch,Method,0,0,8
frmSearch,Param,0,0,17
frmSearch,Not,0,0,2
frmSearch,Arg,0,0,31
frmSearch,Plus,0,0,19
frmSearch,LocalVarStat,0,0,2
frmSearch,LocalVar,0,0,2
frmSearch,Nested,0,0,1
frmSearch,Minus,0,0,2
frmSearch,For,0,0,1
frmSearch,ForInit,0,0,1
frmSearch,ForExprs,0,0,1
frmSearch,LtEq,0,0,1
frmSearch,Inc,0,0,1
frmActionOrderRequest.Designer,CompilationUnit,0,0,1
frmActionOrderRequest.Designer,Namespace,0,0,1
frmActionOrderRequest.Designer,SimpleName,0,0,612
frmActionOrderRequest.Designer,Class,0,0,1
frmActionOrderRequest.Designer,Field,0,0,45
frmActionOrderRequest.Designer,PPRegion,0,0,2
frmActionOrderRequest.Designer,TypeRef,0,0,182
frmActionOrderRequest.Designer,VarDeclarator,0,0,47
frmActionOrderRequest.Designer,AliasTypeRef,0,0,6
frmActionOrderRequest.Designer,Property,0,0,1
frmActionOrderRequest.Designer,PropBody,0,0,1
frmActionOrderRequest.Designer,Get,0,0,1
frmActionOrderRequest.Designer,Block,0,0,6
frmActionOrderRequest.Designer,If,0,0,1
frmActionOrderRequest.Designer,Or,0,0,1
frmActionOrderRequest.Designer,Eql,0,0,1
frmActionOrderRequest.Designer,SingleAccess,0,0,198
